A : (1024,1024):{nnz:10,sparsity=0.000954%}
COO2CSR,0.023552,8.70%,4.35%,4.35%
CSR2COO,0.182500,0.44%,0.69%,0.37%
CSR2CSC_ALG1,0.115484,13.50%,6.01%,5.48%
CSR2CSC_ALG2,0.081351,1.96%,3.08%,1.68%
SpMV_COO,0.020480,5.00%,5.00%,2.50%
SpMV_CSR,0.026738,3.40%,4.26%,2.30%
SpMV_CSC,0.026624,3.85%,7.69%,3.33%
CSR_SPMM,0.185685,0.92%,0.74%,0.55%
COO_SPMM,0.031061,5.49%,7.69%,5.47%
SpGEMM,0.256569,2.57%,1.42%,1.26%
A : (1024,1024):{nnz:20,sparsity=0.001907%}
COO2CSR,0.019684,35.26%,11.56%,14.19%
CSR2COO,0.181817,0.81%,0.88%,0.64%
CSR2CSC_ALG1,0.112299,2.13%,4.26%,1.99%
CSR2CSC_ALG2,0.086812,8.52%,9.17%,4.67%
SpMV_COO,0.022300,19.39%,8.16%,8.21%
SpMV_CSR,0.026283,5.19%,2.60%,2.75%
SpMV_CSC,0.026055,2.18%,5.68%,2.86%
CSR_SPMM,0.201387,2.71%,1.36%,1.22%
COO_SPMM,0.036523,3.74%,4.67%,2.43%
SpGEMM,0.252359,3.07%,2.61%,1.95%
A : (1024,1024):{nnz:41,sparsity=0.003910%}
COO2CSR,0.023893,7.14%,5.71%,4.29%
CSR2COO,0.113892,0.70%,1.10%,0.60%
CSR2CSC_ALG1,0.112412,2.02%,1.62%,1.27%
CSR2CSC_ALG2,0.086244,4.49%,6.20%,4.02%
SpMV_COO,0.021163,1.61%,3.23%,2.42%
SpMV_CSR,0.026510,0.43%,3.43%,1.29%
SpMV_CSC,0.026396,0.86%,3.02%,1.71%
CSR_SPMM,0.136761,0.33%,1.16%,0.54%
COO_SPMM,0.036864,2.78%,2.78%,1.39%
SpGEMM,0.242347,1.41%,3.66%,1.68%
A : (1024,1024):{nnz:83,sparsity=0.007915%}
COO2CSR,0.018318,6.21%,4.97%,3.36%
CSR2COO,0.092388,7.51%,2.46%,3.07%
CSR2CSC_ALG1,0.111844,3.46%,4.78%,3.48%
CSR2CSC_ALG2,0.085561,6.52%,6.65%,5.12%
SpMV_COO,0.021390,5.32%,4.26%,2.88%
SpMV_CSR,0.026624,3.85%,3.85%,1.92%
SpMV_CSC,0.026396,4.74%,3.02%,2.59%
CSR_SPMM,0.099328,1.03%,1.03%,0.52%
COO_SPMM,0.038798,2.93%,2.35%,2.06%
SpGEMM,0.254066,2.78%,1.66%,1.40%
A : (1024,1024):{nnz:167,sparsity=0.015926%}
COO2CSR,0.016043,14.89%,4.26%,6.38%
CSR2COO,0.067243,3.55%,1.02%,1.70%
CSR2CSC_ALG1,0.117760,8.70%,3.48%,3.82%
CSR2CSC_ALG2,0.089202,7.91%,2.42%,3.06%
SpMV_COO,0.022300,10.20%,8.16%,6.40%
SpMV_CSR,0.027079,2.10%,5.46%,2.75%
SpMV_CSC,0.027307,5.00%,2.50%,2.65%
CSR_SPMM,0.073728,1.39%,1.39%,1.20%
COO_SPMM,0.038798,2.93%,2.35%,1.59%
SpGEMM,0.249401,19.48%,5.57%,7.82%
A : (1024,1024):{nnz:335,sparsity=0.031948%}
COO2CSR,0.016498,17.93%,6.90%,9.02%
CSR2COO,0.051086,2.23%,1.78%,1.57%
CSR2CSC_ALG1,0.119125,8.31%,5.44%,4.57%
CSR2CSC_ALG2,0.087836,1.42%,2.07%,1.13%
SpMV_COO,0.022073,6.70%,2.58%,3.37%
SpMV_CSR,0.028103,16.60%,5.26%,6.84%
SpMV_CSC,0.028444,4.40%,2.80%,2.40%
CSR_SPMM,0.061212,10.41%,2.97%,3.99%
COO_SPMM,0.038798,2.93%,2.35%,1.59%
SpGEMM,0.247125,16.02%,3.87%,6.23%
A : (1024,1024):{nnz:671,sparsity=0.063992%}
COO2CSR,0.018546,4.91%,6.13%,3.32%
CSR2COO,0.035954,5.38%,3.16%,2.64%
CSR2CSC_ALG1,0.120604,1.04%,2.36%,1.18%
CSR2CSC_ALG2,0.092956,9.06%,7.47%,5.07%
SpMV_COO,0.022300,5.61%,3.57%,3.83%
SpMV_CSR,0.029241,22.57%,8.95%,9.12%
SpMV_CSC,0.029468,0.77%,2.70%,1.53%
CSR_SPMM,0.053817,4.65%,1.06%,1.93%
COO_SPMM,0.038798,2.93%,2.35%,1.59%
SpGEMM,0.249856,7.38%,4.10%,3.39%
A : (1024,1024):{nnz:1341,sparsity=0.127888%}
COO2CSR,0.016498,11.72%,6.90%,5.76%
CSR2COO,0.025372,21.08%,3.14%,8.02%
CSR2CSC_ALG1,0.117874,4.25%,4.44%,3.26%
CSR2CSC_ALG2,0.091477,8.58%,2.61%,3.40%
SpMV_COO,0.023097,28.57%,6.90%,11.11%
SpMV_CSR,0.027876,2.86%,4.49%,3.06%
SpMV_CSC,0.030606,27.14%,6.32%,10.64%
CSR_SPMM,0.050290,1.81%,4.30%,1.89%
COO_SPMM,0.040050,12.50%,5.40%,5.18%
SpGEMM,0.246443,2.22%,2.35%,1.82%
A : (1024,1024):{nnz:2681,sparsity=0.255680%}
COO2CSR,0.017749,15.38%,7.69%,6.45%
CSR2COO,0.020821,13.11%,6.56%,6.51%
CSR2CSC_ALG1,0.120832,1.69%,2.54%,1.80%
CSR2CSC_ALG2,0.097394,3.04%,1.17%,1.33%
SpMV_COO,0.023666,3.85%,4.81%,2.60%
SpMV_CSR,0.029582,3.85%,3.08%,3.21%
SpMV_CSC,0.032199,11.31%,7.77%,6.18%
CSR_SPMM,0.047900,2.61%,1.66%,1.43%
COO_SPMM,0.040619,8.40%,6.72%,4.88%
SpGEMM,0.268743,9.36%,5.12%,4.16%
A : (1024,1024):{nnz:5364,sparsity=0.511551%}
COO2CSR,0.017294,71.71%,17.11%,28.00%
CSR2COO,0.017067,2.00%,4.00%,3.00%
CSR2CSC_ALG1,0.389348,2.31%,1.11%,0.98%
CSR2CSC_ALG2,0.273408,2.25%,3.00%,1.49%
SpMV_COO,0.024917,15.07%,5.48%,6.50%
SpMV_CSR,0.028900,6.30%,7.87%,5.25%
SpMV_CSC,0.031516,13.72%,5.78%,5.58%
CSR_SPMM,0.048242,1.89%,2.36%,2.24%
COO_SPMM,0.039822,2.86%,2.29%,1.55%
SpGEMM,0.257820,4.85%,3.49%,2.74%
A : (1024,1024):{nnz:10737,sparsity=1.023960%}
COO2CSR,0.017522,46.10%,12.34%,17.88%
CSR2COO,0.017408,5.88%,5.88%,5.88%
CSR2CSC_ALG1,0.400498,1.76%,1.56%,1.11%
CSR2CSC_ALG2,0.281372,0.81%,0.28%,0.44%
